Aftertaste,Overall,Body,Aroma,Flavor,Moisture Percentage,Quality
8.42,8.58,8.25,8.58,8.5,11.8,Alto
7.92,8.5,7.92,8.5,8.5,10.5,Alto
8.08,8.33,7.92,8.33,8.42,10.4,Alto
8.17,8.25,8.17,8.08,8.17,11.8,Alto
8.08,8.25,7.92,8.33,8.33,11.6,Alto
8.25,8.25,7.83,8.33,8.33,10.7,Alto
8.08,8.25,7.83,8.33,8.17,9.1,Alto
8.17,8.08,7.92,8.25,8.25,10.0,Alto
8.25,8.25,7.92,8.08,8.08,10.8,Alto
8.08,8.0,8.0,8.08,8.17,11.0,Alto
8.0,8.0,7.92,8.08,8.25,11.8,Alto
8.0,8.0,8.25,8.08,8.0,11.5,Alto
8.08,8.0,8.0,8.08,8.0,11.9,Alto
8.0,8.0,8.0,7.67,8.17,11.6,Alto
8.08,8.0,8.08,8.08,8.0,10.6,Alto
8.0,8.0,8.0,8.17,8.08,10.2,Alto
7.92,8.08,7.75,8.17,8.08,11.3,Alto
8.0,8.17,7.92,8.0,8.17,10.3,Alto
7.75,8.17,7.83,8.08,8.17,11.0,Alto
7.92,7.92,8.17,8.17,8.0,10.0,Alto
8.08,8.08,7.75,8.0,7.92,11.6,Alto
7.92,7.92,8.0,8.08,8.0,10.4,Alto
7.83,8.08,8.08,7.67,8.0,9.8,Alto
7.92,7.92,8.0,7.83,8.0,10.6,Alto
8.0,8.0,7.83,7.92,7.92,9.1,Alto
7.92,7.92,7.58,8.17,8.08,10.6,Alto
8.0,7.92,7.75,8.0,8.0,10.2,Alto
8.0,8.0,7.67,8.0,7.92,9.3,Alto
7.83,8.08,7.75,8.0,8.0,11.4,Alto
7.83,8.0,7.83,7.92,8.0,10.8,Alto
7.67,8.0,7.67,8.08,8.17,11.3,Alto
7.83,8.0,8.0,7.67,7.83,9.9,Alto
8.0,7.83,7.67,8.0,8.08,12.3,Alto
7.83,7.83,8.0,7.92,7.75,9.4,Alto
7.83,7.92,7.83,8.0,7.92,9.5,Alto
7.83,7.92,7.67,8.25,8.08,11.3,Alto
7.83,8.0,7.92,8.17,7.75,9.2,Alto
7.75,8.0,7.83,7.75,7.92,10.3,Alto
7.83,7.92,7.75,8.0,7.92,10.0,Alto
7.67,7.83,7.92,8.0,8.08,10.5,Alto
7.67,7.92,7.75,8.0,7.92,10.0,Alto
7.75,7.92,7.75,8.0,7.92,11.0,Alto
7.83,7.83,7.67,8.17,8.08,10.1,Alto
7.67,7.83,7.92,7.67,8.08,9.9,Alto
7.75,7.83,8.0,7.67,8.0,11.3,Alto
