ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957,Graduation,Single,10.970591974102547,0,0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,3,8,10,4,7,0,0,0,0,0,0,3,11,1
2174,1954,Graduation,Single,10.743868690309933,1,1,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,1.9459101490553132,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,1965,Graduation,Together,11.179045864561353,0,0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,1984,Graduation,Together,10.190431852901,1,0,26,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1981,PhD,Married,10.973254451090401,1,0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,1967,Master,Together,11.043145810640238,0,1,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,1971,Graduation,Divorced,10.926585752727021,0,1,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985,PhD,Married,10.417956531216918,1,0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,2,4,0,4,8,0,0,0,0,0,0,3,11,0
4855,1974,PhD,Together,10.320617692174796,1,0,19,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681096,1,3,0,2,9,0,0,0,0,0,0,3,11,1
5899,1950,PhD,Together,8.639233817325263,1,1,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.639057329615259,1,1,0,0,20,1,0,0,0,0,0,3,11,0
1994,1983,Graduation,Married,10.86376170235393,1,0,11,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681096,0.6931471805599453,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,1976,Basic,Married,8.922791623969637,0,0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,1,2,0,3,8,0,0,0,0,0,0,3,11,0
2125,1959,Graduation,Divorced,11.051429542337106,0,0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,1,3,4,8,2,0,0,0,0,0,0,3,11,0
8180,1952,Master,Divorced,10.991291642487635,1,1,53,5.455321115357702,1.0986122886681096,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,1987,Graduation,Married,9.759848102334518,0,0,38,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,1,1,0,3,8,0,0,0,0,0,0,3,11,0
